425588 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461 <unfinished ...>
425588 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
425589 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
425589 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
425591 write(8, "PID = \n425129\n", 14 <unfinished ...>
425591 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425590 write(8, "TID = \n425590\n", 14) = 14
425590 write(3, "INFO:werkzeug:TID = \n425590\n", 28 <unfinished ...>
425588 write(8, "LOG_STOP_wsgi, TS=1715882229.107"..., 37 <unfinished ...>
425588 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
425589 write(8, "LOG_STOP_wsgi, TS=1715882229.108"..., 36 <unfinished ...>
425588 write(1, "#*# REQ_SEND\n", 13)   = 13
425589 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
425588 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425589 write(1, "#*# REQ_SEND\n", 13)   = 13
425591 write(8, "TID = \n425591\n", 14) = 14
425589 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425591 write(3, "INFO:werkzeug:TID = \n425591\n", 28) = 28
425590 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425590 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425591 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425591 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425590 write(8, "LOG_STOP_wsgi, TS=1715882229.110"..., 37) = 37
425590 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425591 write(8, "LOG_STOP_wsgi, TS=1715882229.112"..., 37) = 37
425590 write(1, "#*# REQ_SEND\n", 13)   = 13
425590 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425591 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425591 write(1, "#*# REQ_SEND\n", 13)   = 13
425591 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425592 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
425592 write(8, "LOG_START_wsgi ,TS=1715882229.12"..., 38 <unfinished ...>
425592 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425592 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425592 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425593 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
425592 write(8, "PID = \n425129\n", 14) = 14
425592 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425593 write(8, "LOG_START_wsgi ,TS=1715882229.12"..., 38) = 38
425594 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
425593 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425592 write(8, "TID = \n425592\n", 14) = 14
425592 write(3, "INFO:werkzeug:TID = \n425592\n", 28) = 28
425594 write(8, "LOG_START_wsgi ,TS=1715882229.12"..., 38) = 38
425595 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
425593 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425594 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425595 write(8, "LOG_START_wsgi ,TS=1715882229.12"..., 38) = 38
425596 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 460) = 460
425592 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425593 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425594 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425595 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425597 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
425589 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425596 write(8, "LOG_START_wsgi ,TS=1715882229.13"..., 37) = 37
425593 write(8, "PID = \n425129\n", 14) = 14
425588 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425590 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425595 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425591 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425597 write(8, "LOG_START_wsgi ,TS=1715882229.13"..., 38) = 38
425592 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425592 write(8, "LOG_STOP_wsgi, TS=1715882229.120"..., 37) = 37
425594 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425594 write(8, "PID = \n425129\n", 14) = 14
425596 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425596 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425593 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425593 write(8, "TID = \n425593\n", 14 <unfinished ...>
425595 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236 <unfinished ...>
425595 write(8, "PID = \n425129\n", 14) = 14
425593 write(3, "INFO:werkzeug:TID = \n425593\n", 28) = 28
425593 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425592 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425592 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
425594 write(3, "INFO:werkzeug:PID = \n425129\n", 28 <unfinished ...>
425592 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425594 write(8, "TID = \n425594\n", 14) = 14
425596 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425596 write(8, "PID = \n425129\n", 14) = 14
425597 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425597 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425596 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425596 write(8, "TID = \n425596\n", 14) = 14
425593 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425593 write(8, "LOG_STOP_wsgi, TS=1715882229.122"..., 37 <unfinished ...>
425594 write(3, "INFO:werkzeug:TID = \n425594\n", 28 <unfinished ...>
425594 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425593 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425593 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
425595 write(3, "INFO:werkzeug:PID = \n425129\n", 28 <unfinished ...>
425593 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425595 write(8, "TID = \n425595\n", 14) = 14
425597 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425597 write(8, "PID = \n425129\n", 14) = 14
425596 write(3, "INFO:werkzeug:TID = \n425596\n", 28) = 28
425596 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425592 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425594 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425594 write(8, "LOG_STOP_wsgi, TS=1715882229.124"..., 37) = 37
425595 write(3, "INFO:werkzeug:TID = \n425595\n", 28) = 28
425595 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425597 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425597 write(8, "TID = \n425597\n", 14) = 14
425593 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425596 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425596 write(8, "LOG_STOP_wsgi, TS=1715882229.132"..., 36) = 36
425594 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425594 write(1, "#*# REQ_SEND\n", 13)   = 13
425595 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425594 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425595 write(8, "LOG_STOP_wsgi, TS=1715882229.126"..., 37) = 37
425597 write(3, "INFO:werkzeug:TID = \n425597\n", 28) = 28
425597 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425596 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
425596 write(1, "#*# REQ_SEND\n", 13)   = 13
425595 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425596 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425595 write(1, "#*# REQ_SEND\n", 13)   = 13
425594 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425595 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425597 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425597 write(8, "LOG_STOP_wsgi, TS=1715882229.133"..., 37) = 37
425596 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425595 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425597 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425597 write(1, "#*# REQ_SEND\n", 13)   = 13
425597 write(2, "{\"message\": \"Get with url http:/"..., 405 <unfinished ...>
425597 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425589 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425589 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425589 write(1, "*#* RES_REC\n", 12)    = 12
425589 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425589 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425589 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425589 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425589 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425590 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425590 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425590 write(1, "*#* RES_REC\n", 12)    = 12
425590 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425590 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425590 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425590 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425590 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425588 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86 <unfinished ...>
425588 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425588 write(1, "*#* RES_REC\n", 12)    = 12
425588 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425588 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425588 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425588 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425588 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425591 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425591 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425591 write(1, "*#* RES_REC\n", 12)    = 12
425591 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425591 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425591 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425591 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425592 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425591 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425592 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425592 write(1, "*#* RES_REC\n", 12 <unfinished ...>
425592 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425592 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425592 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425592 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425592 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425593 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425593 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425593 write(1, "*#* RES_REC\n", 12)    = 12
425593 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425593 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425593 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425593 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425593 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425594 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425594 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425594 write(1, "*#* RES_REC\n", 12)    = 12
425594 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425594 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425594 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425594 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425594 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425596 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425596 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425596 write(1, "*#* RES_REC\n", 12)    = 12
425596 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425596 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425596 write(3, "INFO:jaeger_tracing:Reporting sp"..., 111) = 111
425596 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425597 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425596 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425595 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425597 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425597 write(1, "*#* RES_REC\n", 12)    = 12
425595 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425597 write(8, "REC_DATA_SIZE=53\n", 17 <unfinished ...>
425595 write(1, "*#* RES_REC\n", 12 <unfinished ...>
425597 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425595 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425595 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425597 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425597 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425595 write(3, "INFO:jaeger_tracing:Reporting sp"..., 111) = 111
425595 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425597 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89 <unfinished ...>
425595 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425657 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
425657 write(8, "LOG_START_wsgi ,TS=1715882230.29"..., 38) = 38
425657 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425657 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425657 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425657 write(8, "PID = \n425129\n", 14) = 14
425657 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425657 write(8, "TID = \n425657\n", 14) = 14
425657 write(3, "INFO:werkzeug:TID = \n425657\n", 28) = 28
425657 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425657 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425657 write(8, "LOG_STOP_wsgi, TS=1715882230.291"..., 37) = 37
425657 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425657 write(1, "#*# REQ_SEND\n", 13)   = 13
425657 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425657 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425657 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425657 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425657 write(1, "*#* RES_REC\n", 12)    = 12
425657 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425657 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425657 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425657 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425657 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425665 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
425665 write(8, "LOG_START_wsgi ,TS=1715882230.31"..., 38) = 38
425665 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425665 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425665 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425665 write(8, "PID = \n425129\n", 14) = 14
425665 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425665 write(8, "TID = \n425665\n", 14) = 14
425665 write(3, "INFO:werkzeug:TID = \n425665\n", 28) = 28
425665 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425665 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425665 write(8, "LOG_STOP_wsgi, TS=1715882230.314"..., 37) = 37
425665 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425665 write(1, "#*# REQ_SEND\n", 13)   = 13
425665 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425665 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425665 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425665 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425665 write(1, "*#* RES_REC\n", 12)    = 12
425665 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425665 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425665 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425665 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425665 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425667 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 460) = 460
425667 write(8, "LOG_START_wsgi ,TS=1715882230.32"..., 37) = 37
425667 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425667 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425667 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425667 write(8, "PID = \n425129\n", 14) = 14
425667 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425667 write(8, "TID = \n425667\n", 14) = 14
425667 write(3, "INFO:werkzeug:TID = \n425667\n", 28) = 28
425667 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425667 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425667 write(8, "LOG_STOP_wsgi, TS=1715882230.322"..., 36) = 36
425667 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
425667 write(1, "#*# REQ_SEND\n", 13)   = 13
425667 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425667 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425667 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425667 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425667 write(1, "*#* RES_REC\n", 12)    = 12
425667 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425667 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425667 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425667 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425667 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425669 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
425669 write(8, "LOG_START_wsgi ,TS=1715882230.32"..., 38) = 38
425669 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425669 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425669 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425669 write(8, "PID = \n425129\n", 14) = 14
425669 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425669 write(8, "TID = \n425669\n", 14) = 14
425669 write(3, "INFO:werkzeug:TID = \n425669\n", 28) = 28
425669 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425669 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425669 write(8, "LOG_STOP_wsgi, TS=1715882230.329"..., 37) = 37
425669 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425669 write(1, "#*# REQ_SEND\n", 13)   = 13
425669 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425669 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425669 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425669 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425669 write(1, "*#* RES_REC\n", 12)    = 12
425669 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425669 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425669 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425669 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425669 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425671 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 460) = 460
425671 write(8, "LOG_START_wsgi ,TS=1715882230.33"..., 37) = 37
425671 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425671 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425671 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425671 write(8, "PID = \n425129\n", 14) = 14
425671 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425671 write(8, "TID = \n425671\n", 14) = 14
425671 write(3, "INFO:werkzeug:TID = \n425671\n", 28) = 28
425671 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425671 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425671 write(8, "LOG_STOP_wsgi, TS=1715882230.338"..., 36) = 36
425671 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
425671 write(1, "#*# REQ_SEND\n", 13)   = 13
425671 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425671 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425673 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 460) = 460
425673 write(8, "LOG_START_wsgi ,TS=1715882230.34"..., 37) = 37
425671 write(3, "DEBUG:urllib3.connectionpool:htt"..., 86) = 86
425673 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425671 write(2, "{\"message\": \"Response <Response "..., 216) = 216
425673 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425671 write(1, "*#* RES_REC\n", 12)    = 12
425673 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425671 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425671 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425673 write(8, "PID = \n425129\n", 14) = 14
425673 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425673 write(8, "TID = \n425673\n", 14) = 14
425671 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425671 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 75) = 75
425673 write(3, "INFO:werkzeug:TID = \n425673\n", 28) = 28
425673 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425674 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
425671 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
425674 write(8, "LOG_START_wsgi ,TS=1715882230.34"..., 38) = 38
425673 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425673 write(8, "LOG_STOP_wsgi, TS=1715882230.342"..., 36) = 36
425674 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425674 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425673 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
425673 write(1, "#*# REQ_SEND\n", 13)   = 13
425674 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425673 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
425674 write(8, "PID = \n425129\n", 14) = 14
425674 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425674 write(8, "TID = \n425674\n", 14) = 14
425673 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425674 write(3, "INFO:werkzeug:TID = \n425674\n", 28) = 28
425674 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425674 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425675 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
425674 write(8, "LOG_STOP_wsgi, TS=1715882230.346"..., 37) = 37
