394496 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461 <unfinished ...>
394504 write(8, "LOG_START_wsgi ,TS=1715880508.51"..., 38) = 38
394500 write(8, "PID = \n394037\n", 14) = 14
394504 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394505 write(8, "LOG_START_wsgi ,TS=1715880508.51"..., 38) = 38
394500 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394502 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394505 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394501 write(8, "PID = \n394037\n", 14) = 14
394502 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394503 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394501 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394503 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394501 write(8, "TID = \n394501\n", 14) = 14
394501 write(3, "INFO:werkzeug:TID = \n394501\n", 28) = 28
394499 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394499 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394504 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394504 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394500 write(8, "TID = \n394500\n", 14) = 14
394500 write(3, "INFO:werkzeug:TID = \n394500\n", 28) = 28
394505 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394505 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394502 write(8, "PID = \n394037\n", 14) = 14
394502 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394498 write(8, "LOG_STOP_wsgi, TS=1715880508.496"..., 37) = 37
394497 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394503 write(8, "PID = \n394037\n", 14) = 14
394498 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394498 write(1, "#*# REQ_SEND\n", 13)   = 13
394501 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394498 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394496 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394499 write(8, "LOG_STOP_wsgi, TS=1715880508.499"..., 37) = 37
394503 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394504 write(8, "PID = \n394037\n", 14) = 14
394501 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394500 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394505 write(8, "PID = \n394037\n", 14) = 14
394499 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394502 write(8, "TID = \n394502\n", 14) = 14
394499 write(1, "#*# REQ_SEND\n", 13)   = 13
394499 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394503 write(8, "TID = \n394503\n", 14) = 14
394498 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394501 write(8, "LOG_STOP_wsgi, TS=1715880508.503"..., 36) = 36
394504 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394504 write(8, "TID = \n394504\n", 14) = 14
394500 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394500 write(8, "LOG_STOP_wsgi, TS=1715880508.501"..., 36) = 36
394505 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394505 write(8, "TID = \n394505\n", 14) = 14
394502 write(3, "INFO:werkzeug:TID = \n394502\n", 28) = 28
394502 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394505 write(3, "INFO:werkzeug:TID = \n394505\n", 28) = 28
394505 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
394502 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
394502 write(8, "LOG_STOP_wsgi, TS=1715880508.505"..., 37) = 37
394499 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394502 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394502 write(1, "#*# REQ_SEND\n", 13)   = 13
394502 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394500 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
394500 write(1, "#*# REQ_SEND\n", 13)   = 13
394503 write(3, "INFO:werkzeug:TID = \n394503\n", 28) = 28
394500 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394503 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394501 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
394501 write(1, "#*# REQ_SEND\n", 13)   = 13
394505 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394501 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394505 write(8, "LOG_STOP_wsgi, TS=1715880508.513"..., 37) = 37
394504 write(3, "INFO:werkzeug:TID = \n394504\n", 28) = 28
394504 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394503 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394503 write(8, "LOG_STOP_wsgi, TS=1715880508.507"..., 37 <unfinished ...>
394504 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
394504 write(8, "LOG_STOP_wsgi, TS=1715880508.510"..., 37) = 37
394503 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394503 write(1, "#*# REQ_SEND\n", 13)   = 13
394505 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394503 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394505 write(1, "#*# REQ_SEND\n", 13)   = 13
394501 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394505 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394503 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394500 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394504 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394504 write(1, "#*# REQ_SEND\n", 13)   = 13
394502 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79 <unfinished ...>
394504 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394505 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394504 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394497 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
394497 write(2, "{\"message\": \"Response <Response "..., 216) = 216
394497 write(1, "*#* RES_REC\n", 12)    = 12
394497 write(8, "REC_DATA_SIZE=11830\n", 20) = 20
394497 write(3, "INFO:werkzeug:REC_DATA_SIZE=1183"..., 34) = 34
394497 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
394497 write(8, "10.5.30.76 - - [16/May/2024 22:5"..., 75) = 75
394497 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
394499 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
394499 write(2, "{\"message\": \"Response <Response "..., 216) = 216
394499 write(1, "*#* RES_REC\n", 12)    = 12
394499 write(8, "REC_DATA_SIZE=13274\n", 20) = 20
394499 write(3, "INFO:werkzeug:REC_DATA_SIZE=1327"..., 34) = 34
394499 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
394499 write(8, "10.5.30.76 - - [16/May/2024 22:5"..., 75) = 75
394499 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
394498 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
394498 write(2, "{\"message\": \"Response <Response "..., 216) = 216
394498 write(1, "*#* RES_REC\n", 12)    = 12
394498 write(8, "REC_DATA_SIZE=12114\n", 20) = 20
394498 write(3, "INFO:werkzeug:REC_DATA_SIZE=1211"..., 34) = 34
394498 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
394498 write(8, "10.5.30.76 - - [16/May/2024 22:5"..., 75) = 75
394498 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
394503 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
394503 write(2, "{\"message\": \"Response <Response "..., 216) = 216
394503 write(1, "*#* RES_REC\n", 12)    = 12
394503 write(8, "REC_DATA_SIZE=12312\n", 20) = 20
394503 write(3, "INFO:werkzeug:REC_DATA_SIZE=1231"..., 34) = 34
394503 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
394503 write(8, "10.5.30.76 - - [16/May/2024 22:5"..., 75) = 75
394503 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
394496 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
394496 write(2, "{\"message\": \"Response <Response "..., 216) = 216
394496 write(1, "*#* RES_REC\n", 12)    = 12
394496 write(8, "REC_DATA_SIZE=12223\n", 20) = 20
394496 write(3, "INFO:werkzeug:REC_DATA_SIZE=1222"..., 34) = 34
394496 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
394496 write(8, "10.5.30.76 - - [16/May/2024 22:5"..., 75) = 75
394496 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
394504 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
394504 write(2, "{\"message\": \"Response <Response "..., 216) = 216
394504 write(1, "*#* RES_REC\n", 12)    = 12
394504 write(8, "REC_DATA_SIZE=12806\n", 20) = 20
394504 write(3, "INFO:werkzeug:REC_DATA_SIZE=1280"..., 34) = 34
394504 write(3, "INFO:jaeger_tracing:Reporting sp"..., 111) = 111
394504 write(8, "10.5.30.76 - - [16/May/2024 22:5"..., 75) = 75
394504 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
394500 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
394500 write(2, "{\"message\": \"Response <Response "..., 216) = 216
394500 write(1, "*#* RES_REC\n", 12)    = 12
394500 write(8, "REC_DATA_SIZE=12636\n", 20) = 20
394500 write(3, "INFO:werkzeug:REC_DATA_SIZE=1263"..., 34) = 34
394505 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
394500 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
394505 write(2, "{\"message\": \"Response <Response "..., 216) = 216
394500 write(8, "10.5.30.76 - - [16/May/2024 22:5"..., 75) = 75
394505 write(1, "*#* RES_REC\n", 12 <unfinished ...>
394500 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89 <unfinished ...>
394505 write(8, "REC_DATA_SIZE=11710\n", 20) = 20
394505 write(3, "INFO:werkzeug:REC_DATA_SIZE=1171"..., 34 <unfinished ...>
394505 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
394505 write(8, "10.5.30.76 - - [16/May/2024 22:5"..., 75) = 75
394505 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
394501 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
394501 write(2, "{\"message\": \"Response <Response "..., 216) = 216
394501 write(1, "*#* RES_REC\n", 12)    = 12
394501 write(8, "REC_DATA_SIZE=12505\n", 20) = 20
394501 write(3, "INFO:werkzeug:REC_DATA_SIZE=1250"..., 34) = 34
394501 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
394501 write(8, "10.5.30.76 - - [16/May/2024 22:5"..., 75) = 75
394501 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
394502 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
394502 write(2, "{\"message\": \"Response <Response "..., 216) = 216
394502 write(1, "*#* RES_REC\n", 12)    = 12
394502 write(8, "REC_DATA_SIZE=11971\n", 20) = 20
394502 write(3, "INFO:werkzeug:REC_DATA_SIZE=1197"..., 34) = 34
394502 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
394502 write(8, "10.5.30.76 - - [16/May/2024 22:5"..., 75) = 75
394502 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
394562 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
394562 write(8, "LOG_START_wsgi ,TS=1715880510.44"..., 38) = 38
394562 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394562 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394562 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394562 write(8, "PID = \n394037\n", 14) = 14
394562 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394562 write(8, "TID = \n394562\n", 14) = 14
394562 write(3, "INFO:werkzeug:TID = \n394562\n", 28) = 28
394562 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394562 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394562 write(8, "LOG_STOP_wsgi, TS=1715880510.449"..., 37) = 37
394562 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394562 write(1, "#*# REQ_SEND\n", 13)   = 13
394562 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394562 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394566 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461 <unfinished ...>
394566 write(8, "LOG_START_wsgi ,TS=1715880510.47"..., 38) = 38
394566 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394566 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394567 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461 <unfinished ...>
394566 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236 <unfinished ...>
394567 write(8, "LOG_START_wsgi ,TS=1715880510.47"..., 38) = 38
394567 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394566 write(8, "PID = \n394037\n", 14) = 14
394566 write(3, "INFO:werkzeug:PID = \n394037\n", 28 <unfinished ...>
394567 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222 <unfinished ...>
394567 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394566 write(8, "TID = \n394566\n", 14) = 14
394566 write(3, "INFO:werkzeug:TID = \n394566\n", 28 <unfinished ...>
394567 write(8, "PID = \n394037\n", 14 <unfinished ...>
394567 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394566 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394566 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
394567 write(8, "TID = \n394567\n", 14 <unfinished ...>
394567 write(3, "INFO:werkzeug:TID = \n394567\n", 28 <unfinished ...>
394566 write(8, "LOG_STOP_wsgi, TS=1715880510.471"..., 37 <unfinished ...>
394566 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
394567 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
394566 write(1, "#*# REQ_SEND\n", 13)   = 13
394567 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394566 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394567 write(8, "LOG_STOP_wsgi, TS=1715880510.472"..., 37) = 37
394567 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394567 write(1, "#*# REQ_SEND\n", 13)   = 13
394566 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394567 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394567 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79 <unfinished ...>
394585 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 460) = 460
394585 write(8, "LOG_START_wsgi ,TS=1715880510.50"..., 37) = 37
394585 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
394585 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394585 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394585 write(8, "PID = \n394037\n", 14) = 14
394585 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394585 write(8, "TID = \n394585\n", 14) = 14
394585 write(3, "INFO:werkzeug:TID = \n394585\n", 28) = 28
394585 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394585 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394585 write(8, "LOG_STOP_wsgi, TS=1715880510.503"..., 36) = 36
394585 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
394585 write(1, "#*# REQ_SEND\n", 13)   = 13
394585 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394585 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394589 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 460 <unfinished ...>
394589 write(8, "LOG_START_wsgi ,TS=1715880510.51"..., 37) = 37
394589 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
394590 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
394590 write(8, "LOG_START_wsgi ,TS=1715880510.52"..., 38) = 38
394590 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
394589 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222 <unfinished ...>
394589 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236 <unfinished ...>
394590 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222 <unfinished ...>
394590 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394589 write(8, "PID = \n394037\n", 14) = 14
394589 write(3, "INFO:werkzeug:PID = \n394037\n", 28 <unfinished ...>
394590 write(8, "PID = \n394037\n", 14 <unfinished ...>
394590 write(3, "INFO:werkzeug:PID = \n394037\n", 28 <unfinished ...>
394589 write(8, "TID = \n394589\n", 14 <unfinished ...>
394589 write(3, "INFO:werkzeug:TID = \n394589\n", 28 <unfinished ...>
394590 write(8, "TID = \n394590\n", 14 <unfinished ...>
394590 write(3, "INFO:werkzeug:TID = \n394590\n", 28) = 28
394589 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394589 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
394590 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
394590 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394589 write(8, "LOG_STOP_wsgi, TS=1715880510.518"..., 36) = 36
394589 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50 <unfinished ...>
394590 write(8, "LOG_STOP_wsgi, TS=1715880510.520"..., 37 <unfinished ...>
394589 write(1, "#*# REQ_SEND\n", 13)   = 13
394590 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394589 write(2, "{\"message\": \"Get with url http:/"..., 405 <unfinished ...>
394590 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
394590 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394589 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394590 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394602 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461 <unfinished ...>
394602 write(8, "LOG_START_wsgi ,TS=1715880510.54"..., 38) = 38
394602 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
394602 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394603 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461 <unfinished ...>
394602 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236 <unfinished ...>
394603 write(8, "LOG_START_wsgi ,TS=1715880510.54"..., 38) = 38
394603 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394602 write(8, "PID = \n394037\n", 14) = 14
394602 write(3, "INFO:werkzeug:PID = \n394037\n", 28 <unfinished ...>
394603 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222 <unfinished ...>
394603 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394602 write(8, "TID = \n394602\n", 14) = 14
394602 write(3, "INFO:werkzeug:TID = \n394602\n", 28 <unfinished ...>
394603 write(8, "PID = \n394037\n", 14 <unfinished ...>
394603 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394602 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394602 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
394603 write(8, "TID = \n394603\n", 14 <unfinished ...>
394603 write(3, "INFO:werkzeug:TID = \n394603\n", 28) = 28
394602 write(8, "LOG_STOP_wsgi, TS=1715880510.540"..., 37) = 37
394602 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
394603 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
394602 write(1, "#*# REQ_SEND\n", 13)   = 13
394603 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394602 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394603 write(8, "LOG_STOP_wsgi, TS=1715880510.541"..., 37) = 37
394603 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394603 write(1, "#*# REQ_SEND\n", 13)   = 13
394602 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394603 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394603 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79 <unfinished ...>
394614 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
394614 write(8, "LOG_START_wsgi ,TS=1715880510.59"..., 38) = 38
394614 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394614 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394614 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394614 write(8, "PID = \n394037\n", 14) = 14
394614 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394614 write(8, "TID = \n394614\n", 14) = 14
394614 write(3, "INFO:werkzeug:TID = \n394614\n", 28) = 28
394614 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394614 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394614 write(8, "LOG_STOP_wsgi, TS=1715880510.590"..., 37) = 37
394614 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394614 write(1, "#*# REQ_SEND\n", 13)   = 13
394614 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394614 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
