394486 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365 <unfinished ...>
394495 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
394488 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394492 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394488 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394491 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394491 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160 <unfinished ...>
394493 write(8, "LOG_START_wsgi ,TS=1715880508.46"..., 38 <unfinished ...>
394493 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394486 write(8, "LOG_STOP_wsgi, TS=1715880508.452"..., 37) = 37
394486 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
394490 write(8, "PID = \n394017\n", 14 <unfinished ...>
394486 write(1, "#*# REQ_SEND\n", 13)   = 13
394490 write(3, "INFO:werkzeug:PID = \n394017\n", 28 <unfinished ...>
394494 write(8, "LOG_START_wsgi ,TS=1715880508.46"..., 38) = 38
394486 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394494 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394487 write(8, "LOG_STOP_wsgi, TS=1715880508.454"..., 36) = 36
394489 write(8, "TID = \n394489\n", 14) = 14
394487 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
394487 write(1, "#*# REQ_SEND\n", 13)   = 13
394489 write(3, "INFO:werkzeug:TID = \n394489\n", 28) = 28
394487 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394495 write(8, "LOG_START_wsgi ,TS=1715880508.46"..., 38) = 38
394495 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394492 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394488 write(8, "LOG_STOP_wsgi, TS=1715880508.456"..., 36) = 36
394492 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394491 write(8, "PID = \n394017\n", 14) = 14
394488 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
394493 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394488 write(1, "#*# REQ_SEND\n", 13)   = 13
394491 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
394488 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394490 write(8, "TID = \n394490\n", 14) = 14
394493 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394494 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394490 write(3, "INFO:werkzeug:TID = \n394490\n", 28) = 28
394489 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394494 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394495 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394492 write(8, "PID = \n394017\n", 14) = 14
394489 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394491 write(8, "TID = \n394491\n", 14) = 14
394495 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394493 write(8, "PID = \n394017\n", 14) = 14
394492 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
394490 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394491 write(3, "INFO:werkzeug:TID = \n394491\n", 28) = 28
394494 write(8, "PID = \n394017\n", 14) = 14
394493 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
394489 write(8, "LOG_STOP_wsgi, TS=1715880508.458"..., 36) = 36
394490 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394495 write(8, "PID = \n394017\n", 14) = 14
394494 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
394492 write(8, "TID = \n394492\n", 14) = 14
394489 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
394491 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394489 write(1, "#*# REQ_SEND\n", 13)   = 13
394489 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394495 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
394493 write(8, "TID = \n394493\n", 14) = 14
394490 write(8, "LOG_STOP_wsgi, TS=1715880508.460"..., 37) = 37
394492 write(3, "INFO:werkzeug:TID = \n394492\n", 28) = 28
394494 write(8, "TID = \n394494\n", 14) = 14
394491 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394495 write(8, "TID = \n394495\n", 14) = 14
394493 write(3, "INFO:werkzeug:TID = \n394493\n", 28) = 28
394492 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394490 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394491 write(8, "LOG_STOP_wsgi, TS=1715880508.461"..., 37) = 37
394493 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394490 write(1, "#*# REQ_SEND\n", 13)   = 13
394494 write(3, "INFO:werkzeug:TID = \n394494\n", 28) = 28
394494 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394490 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394495 write(3, "INFO:werkzeug:TID = \n394495\n", 28) = 28
394495 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394492 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394492 write(8, "LOG_STOP_wsgi, TS=1715880508.464"..., 37) = 37
394491 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394491 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
394492 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
394491 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394492 write(1, "#*# REQ_SEND\n", 13)   = 13
394487 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394494 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394492 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394494 write(8, "LOG_STOP_wsgi, TS=1715880508.467"..., 37) = 37
394486 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394490 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394489 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394495 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394495 write(8, "LOG_STOP_wsgi, TS=1715880508.469"..., 37) = 37
394488 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394493 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394493 write(8, "LOG_STOP_wsgi, TS=1715880508.465"..., 37) = 37
394491 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394494 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394494 write(1, "#*# REQ_SEND\n", 13)   = 13
394494 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394492 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394495 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394495 write(1, "#*# REQ_SEND\n", 13)   = 13
394493 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
394495 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394493 write(1, "#*# REQ_SEND\n", 13)   = 13
394494 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394493 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394495 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394493 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394490 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
394490 write(2, "{\"message\": \"Response <Response "..., 202) = 202
394490 write(1, "*#* RES_REC\n", 12)    = 12
394490 write(8, "REC_DATA_SIZE=11830\n", 20) = 20
394490 write(3, "INFO:werkzeug:REC_DATA_SIZE=1183"..., 34) = 34
394489 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
394489 write(2, "{\"message\": \"Response <Response "..., 202) = 202
394489 write(1, "*#* RES_REC\n", 12)    = 12
394489 write(8, "REC_DATA_SIZE=13274\n", 20) = 20
394489 write(3, "INFO:werkzeug:REC_DATA_SIZE=1327"..., 34 <unfinished ...>
394490 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
394490 write(8, "10.145.11.89 - - [16/May/2024 22"..., 69) = 69
394490 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
394486 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
394486 write(2, "{\"message\": \"Response <Response "..., 202) = 202
394486 write(1, "*#* RES_REC\n", 12)    = 12
394486 write(8, "REC_DATA_SIZE=12114\n", 20) = 20
394486 write(3, "INFO:werkzeug:REC_DATA_SIZE=1211"..., 34) = 34
394489 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
394489 write(8, "10.145.11.89 - - [16/May/2024 22"..., 69) = 69
394486 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
394486 write(8, "10.145.11.89 - - [16/May/2024 22"..., 69) = 69
394489 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
394486 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
394494 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
394494 write(2, "{\"message\": \"Response <Response "..., 202) = 202
394494 write(1, "*#* RES_REC\n", 12)    = 12
394494 write(8, "REC_DATA_SIZE=12312\n", 20) = 20
394494 write(3, "INFO:werkzeug:REC_DATA_SIZE=1231"..., 34) = 34
394487 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
394494 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
394487 write(2, "{\"message\": \"Response <Response "..., 202) = 202
394494 write(8, "10.145.11.89 - - [16/May/2024 22"..., 69) = 69
394487 write(1, "*#* RES_REC\n", 12)    = 12
394494 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
394487 write(8, "REC_DATA_SIZE=12223\n", 20 <unfinished ...>
394487 write(3, "INFO:werkzeug:REC_DATA_SIZE=1222"..., 34 <unfinished ...>
394487 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
394487 write(8, "10.145.11.89 - - [16/May/2024 22"..., 69) = 69
394495 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
394487 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83 <unfinished ...>
394495 write(2, "{\"message\": \"Response <Response "..., 202 <unfinished ...>
394495 write(1, "*#* RES_REC\n", 12 <unfinished ...>
394495 write(8, "REC_DATA_SIZE=12806\n", 20 <unfinished ...>
394495 write(3, "INFO:werkzeug:REC_DATA_SIZE=1280"..., 34) = 34
394495 write(3, "INFO:jaeger_tracing:Reporting sp"..., 90) = 90
394495 write(8, "10.145.11.89 - - [16/May/2024 22"..., 69) = 69
394495 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
394488 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
394488 write(2, "{\"message\": \"Response <Response "..., 202) = 202
394488 write(1, "*#* RES_REC\n", 12)    = 12
394488 write(8, "REC_DATA_SIZE=12636\n", 20) = 20
394493 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
394488 write(3, "INFO:werkzeug:REC_DATA_SIZE=1263"..., 34) = 34
394493 write(2, "{\"message\": \"Response <Response "..., 202) = 202
394493 write(1, "*#* RES_REC\n", 12)    = 12
394493 write(8, "REC_DATA_SIZE=11710\n", 20) = 20
394488 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
394488 write(8, "10.145.11.89 - - [16/May/2024 22"..., 69) = 69
394493 write(3, "INFO:werkzeug:REC_DATA_SIZE=1171"..., 34) = 34
394488 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
394493 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
394493 write(8, "10.145.11.89 - - [16/May/2024 22"..., 69) = 69
394493 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
394491 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
394491 write(2, "{\"message\": \"Response <Response "..., 202) = 202
394491 write(1, "*#* RES_REC\n", 12)    = 12
394491 write(8, "REC_DATA_SIZE=12505\n", 20) = 20
394491 write(3, "INFO:werkzeug:REC_DATA_SIZE=1250"..., 34) = 34
394491 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
394491 write(8, "10.145.11.89 - - [16/May/2024 22"..., 69) = 69
394491 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
394492 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
394492 write(2, "{\"message\": \"Response <Response "..., 202) = 202
394492 write(1, "*#* RES_REC\n", 12)    = 12
394492 write(8, "REC_DATA_SIZE=11971\n", 20) = 20
394492 write(3, "INFO:werkzeug:REC_DATA_SIZE=1197"..., 34) = 34
394492 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
394492 write(8, "10.145.11.89 - - [16/May/2024 22"..., 69) = 69
394492 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
394561 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
394561 write(8, "LOG_START_wsgi ,TS=1715880510.44"..., 38) = 38
394561 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394561 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394561 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394561 write(8, "PID = \n394017\n", 14) = 14
394561 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
394561 write(8, "TID = \n394561\n", 14) = 14
394561 write(3, "INFO:werkzeug:TID = \n394561\n", 28) = 28
394561 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394561 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394561 write(8, "LOG_STOP_wsgi, TS=1715880510.445"..., 37) = 37
394561 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394561 write(1, "#*# REQ_SEND\n", 13)   = 13
394561 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394561 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394565 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
394565 write(8, "LOG_START_wsgi ,TS=1715880510.46"..., 38 <unfinished ...>
394564 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 363 <unfinished ...>
394565 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394564 write(8, "LOG_START_wsgi ,TS=1715880510.46"..., 36) = 36
394564 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 50 <unfinished ...>
394565 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146 <unfinished ...>
394565 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394564 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394564 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160 <unfinished ...>
394565 write(8, "PID = \n394017\n", 14 <unfinished ...>
394565 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
394564 write(8, "PID = \n394017\n", 14) = 14
394564 write(3, "INFO:werkzeug:PID = \n394017\n", 28 <unfinished ...>
394565 write(8, "TID = \n394565\n", 14 <unfinished ...>
394565 write(3, "INFO:werkzeug:TID = \n394565\n", 28) = 28
394564 write(8, "TID = \n394564\n", 14) = 14
394564 write(3, "INFO:werkzeug:TID = \n394564\n", 28 <unfinished ...>
394565 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
394565 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394564 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394564 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
394565 write(8, "LOG_STOP_wsgi, TS=1715880510.465"..., 37 <unfinished ...>
394565 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394564 write(8, "LOG_STOP_wsgi, TS=1715880510.465"..., 35 <unfinished ...>
394565 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
394564 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 49 <unfinished ...>
394565 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394564 write(1, "#*# REQ_SEND\n", 13)   = 13
394564 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394565 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394564 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394584 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
394584 write(8, "LOG_START_wsgi ,TS=1715880510.49"..., 38) = 38
394584 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394584 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394584 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394584 write(8, "PID = \n394017\n", 14) = 14
394584 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
394584 write(8, "TID = \n394584\n", 14) = 14
394584 write(3, "INFO:werkzeug:TID = \n394584\n", 28) = 28
394584 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394584 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394584 write(8, "LOG_STOP_wsgi, TS=1715880510.499"..., 37) = 37
394584 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394584 write(1, "#*# REQ_SEND\n", 13)   = 13
394584 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394584 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394587 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
394587 write(8, "LOG_START_wsgi ,TS=1715880510.51"..., 38) = 38
394587 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394587 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394588 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
394587 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394588 write(8, "LOG_START_wsgi ,TS=1715880510.51"..., 38) = 38
394588 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394587 write(8, "PID = \n394017\n", 14) = 14
394587 write(3, "INFO:werkzeug:PID = \n394017\n", 28 <unfinished ...>
394588 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146 <unfinished ...>
394588 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394587 write(8, "TID = \n394587\n", 14) = 14
394587 write(3, "INFO:werkzeug:TID = \n394587\n", 28 <unfinished ...>
394588 write(8, "PID = \n394017\n", 14 <unfinished ...>
394588 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
394587 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394587 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
394588 write(8, "TID = \n394588\n", 14 <unfinished ...>
394588 write(3, "INFO:werkzeug:TID = \n394588\n", 28) = 28
394587 write(8, "LOG_STOP_wsgi, TS=1715880510.511"..., 37) = 37
394587 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
394588 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
394587 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
394588 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
394587 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394588 write(8, "LOG_STOP_wsgi, TS=1715880510.513"..., 37) = 37
394588 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394588 write(1, "#*# REQ_SEND\n", 13)   = 13
394587 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394588 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394588 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79 <unfinished ...>
394598 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365 <unfinished ...>
394598 write(8, "LOG_START_wsgi ,TS=1715880510.53"..., 38) = 38
394598 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394598 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394601 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
394598 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394601 write(8, "LOG_START_wsgi ,TS=1715880510.53"..., 37) = 37
394601 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
394598 write(8, "PID = \n394017\n", 14) = 14
394598 write(3, "INFO:werkzeug:PID = \n394017\n", 28 <unfinished ...>
394601 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146 <unfinished ...>
394601 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394598 write(8, "TID = \n394598\n", 14) = 14
394598 write(3, "INFO:werkzeug:TID = \n394598\n", 28 <unfinished ...>
394601 write(8, "PID = \n394017\n", 14 <unfinished ...>
394601 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
394598 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394598 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
394601 write(8, "TID = \n394601\n", 14 <unfinished ...>
394601 write(3, "INFO:werkzeug:TID = \n394601\n", 28) = 28
394598 write(8, "LOG_STOP_wsgi, TS=1715880510.532"..., 37) = 37
394598 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
394601 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
394598 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
394601 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
394598 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394601 write(8, "LOG_STOP_wsgi, TS=1715880510.534"..., 36) = 36
394601 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
394601 write(1, "#*# REQ_SEND\n", 13)   = 13
394598 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394601 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394601 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
394613 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
394613 write(8, "LOG_START_wsgi ,TS=1715880510.58"..., 38) = 38
394613 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394613 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394613 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394613 write(8, "PID = \n394017\n", 14) = 14
394613 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
394613 write(8, "TID = \n394613\n", 14) = 14
394613 write(3, "INFO:werkzeug:TID = \n394613\n", 28) = 28
394613 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394613 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394613 write(8, "LOG_STOP_wsgi, TS=1715880510.586"..., 37) = 37
394613 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394613 write(1, "#*# REQ_SEND\n", 13)   = 13
394613 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
394613 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
