359581 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
359589 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359583 write(8, "LOG_STOP_wsgi, TS=1715874618.011"..., 37) = 37
359585 write(3, "INFO:werkzeug:TID = \n359585\n", 28) = 28
359587 write(8, "PID = \n358884\n", 14) = 14
359583 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359590 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359583 write(1, "#*# REQ_SEND\n", 13)   = 13
359587 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359584 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359583 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359586 write(8, "TID = \n359586\n", 14) = 14
359591 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359590 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359589 write(8, "PID = \n358884\n", 14) = 14
359584 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359586 write(3, "INFO:werkzeug:TID = \n359586\n", 28) = 28
359585 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359591 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359587 write(8, "TID = \n359587\n", 14) = 14
359583 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359590 write(8, "PID = \n358884\n", 14) = 14
359589 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359584 write(8, "LOG_STOP_wsgi, TS=1715874618.013"..., 37) = 37
359585 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359587 write(3, "INFO:werkzeug:TID = \n359587\n", 28 <unfinished ...>
359586 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
359591 write(8, "PID = \n358884\n", 14) = 14
359590 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359589 write(8, "TID = \n359589\n", 14) = 14
359584 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359584 write(1, "#*# REQ_SEND\n", 13)   = 13
359586 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359585 write(8, "LOG_STOP_wsgi, TS=1715874618.015"..., 37) = 37
359584 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359587 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359591 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359590 write(8, "TID = \n359590\n", 14) = 14
359589 write(3, "INFO:werkzeug:TID = \n359589\n", 28) = 28
359586 write(8, "LOG_STOP_wsgi, TS=1715874618.018"..., 34) = 34
359585 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359591 write(8, "TID = \n359591\n", 14) = 14
359585 write(1, "#*# REQ_SEND\n", 13)   = 13
359587 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359589 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359585 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359590 write(3, "INFO:werkzeug:TID = \n359590\n", 28) = 28
359587 write(8, "LOG_STOP_wsgi, TS=1715874618.021"..., 37) = 37
359590 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359584 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359586 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 48) = 48
359586 write(1, "#*# REQ_SEND\n", 13)   = 13
359591 write(3, "INFO:werkzeug:TID = \n359591\n", 28) = 28
359586 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359591 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359589 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359589 write(8, "LOG_STOP_wsgi, TS=1715874618.023"..., 37) = 37
359587 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359587 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
359589 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
359587 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359589 write(1, "#*# REQ_SEND\n", 13)   = 13
359585 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359589 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359591 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359591 write(8, "LOG_STOP_wsgi, TS=1715874618.028"..., 37) = 37
359586 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359590 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359590 write(8, "LOG_STOP_wsgi, TS=1715874618.026"..., 36) = 36
359587 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359589 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359591 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359591 write(1, "#*# REQ_SEND\n", 13)   = 13
359591 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359590 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
359590 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
359590 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359591 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359590 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359586 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359586 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359586 write(1, "*#* RES_REC\n", 12)    = 12
359586 write(8, "REC_DATA_SIZE=11776\n", 20) = 20
359586 write(3, "INFO:werkzeug:REC_DATA_SIZE=1177"..., 34) = 34
359586 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359586 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359585 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359586 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359585 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359583 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359585 write(1, "*#* RES_REC\n", 12)    = 12
359584 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359585 write(8, "REC_DATA_SIZE=12514\n", 20) = 20
359583 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359583 write(1, "*#* RES_REC\n", 12)    = 12
359583 write(8, "REC_DATA_SIZE=11893\n", 20) = 20
359581 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359585 write(3, "INFO:werkzeug:REC_DATA_SIZE=1251"..., 34) = 34
359584 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359582 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359584 write(1, "*#* RES_REC\n", 12)    = 12
359583 write(3, "INFO:werkzeug:REC_DATA_SIZE=1189"..., 34) = 34
359584 write(8, "REC_DATA_SIZE=12480\n", 20) = 20
359581 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359585 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359581 write(1, "*#* RES_REC\n", 12)    = 12
359582 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359585 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359582 write(1, "*#* RES_REC\n", 12)    = 12
359583 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359581 write(8, "REC_DATA_SIZE=12792\n", 20) = 20
359584 write(3, "INFO:werkzeug:REC_DATA_SIZE=1248"..., 34) = 34
359583 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359590 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359585 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359582 write(8, "REC_DATA_SIZE=12263\n", 20) = 20
359581 write(3, "INFO:werkzeug:REC_DATA_SIZE=1279"..., 34) = 34
359590 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359590 write(1, "*#* RES_REC\n", 12)    = 12
359590 write(8, "REC_DATA_SIZE=12188\n", 20) = 20
359583 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359584 write(3, "INFO:jaeger_tracing:Reporting sp"..., 111) = 111
359584 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359582 write(3, "INFO:werkzeug:REC_DATA_SIZE=1226"..., 34) = 34
359590 write(3, "INFO:werkzeug:REC_DATA_SIZE=1218"..., 34) = 34
359581 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359581 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359584 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359581 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359582 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359582 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359590 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359582 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359590 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359590 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359589 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359589 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359589 write(1, "*#* RES_REC\n", 12)    = 12
359589 write(8, "REC_DATA_SIZE=12016\n", 20) = 20
359589 write(3, "INFO:werkzeug:REC_DATA_SIZE=1201"..., 34) = 34
359589 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359589 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359589 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359587 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359587 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359587 write(1, "*#* RES_REC\n", 12)    = 12
359587 write(8, "REC_DATA_SIZE=12051\n", 20) = 20
359587 write(3, "INFO:werkzeug:REC_DATA_SIZE=1205"..., 34) = 34
359587 write(3, "INFO:jaeger_tracing:Reporting sp"..., 108) = 108
359587 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359587 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359591 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359591 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359591 write(1, "*#* RES_REC\n", 12)    = 12
359591 write(8, "REC_DATA_SIZE=11856\n", 20) = 20
359591 write(3, "INFO:werkzeug:REC_DATA_SIZE=1185"..., 34) = 34
359591 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359591 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359591 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359689 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
359689 write(8, "LOG_START_wsgi ,TS=1715874620.42"..., 38) = 38
359689 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359689 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359689 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359689 write(8, "PID = \n358884\n", 14) = 14
359689 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359689 write(8, "TID = \n359689\n", 14) = 14
359689 write(3, "INFO:werkzeug:TID = \n359689\n", 28) = 28
359689 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359689 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359689 write(8, "LOG_STOP_wsgi, TS=1715874620.425"..., 37) = 37
359689 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359689 write(1, "#*# REQ_SEND\n", 13)   = 13
359689 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359689 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359691 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 460) = 460
359691 write(8, "LOG_START_wsgi ,TS=1715874620.43"..., 37) = 37
359691 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
359691 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359691 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359691 write(8, "PID = \n358884\n", 14) = 14
359691 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359691 write(8, "TID = \n359691\n", 14) = 14
359691 write(3, "INFO:werkzeug:TID = \n359691\n", 28) = 28
359691 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359691 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359691 write(8, "LOG_STOP_wsgi, TS=1715874620.433"..., 36) = 36
359691 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
359691 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
359691 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359691 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359692 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 460) = 460
359692 write(8, "LOG_START_wsgi ,TS=1715874620.43"..., 37) = 37
359692 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
359692 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359692 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359692 write(8, "PID = \n358884\n", 14) = 14
359693 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 459) = 459
359692 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359692 write(8, "TID = \n359692\n", 14) = 14
359692 write(3, "INFO:werkzeug:TID = \n359692\n", 28 <unfinished ...>
359693 write(8, "LOG_START_wsgi ,TS=1715874620.43"..., 36) = 36
359695 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
359693 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 50) = 50
359692 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359692 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359695 write(8, "LOG_START_wsgi ,TS=1715874620.44"..., 38 <unfinished ...>
359693 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359696 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
359695 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359692 write(8, "LOG_STOP_wsgi, TS=1715874620.436"..., 36) = 36
359693 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359692 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
359697 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
359696 write(8, "LOG_START_wsgi ,TS=1715874620.44"..., 38) = 38
359692 write(1, "#*# REQ_SEND\n", 13)   = 13
359696 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359692 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359695 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359695 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359693 write(8, "PID = \n358884\n", 14) = 14
359693 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359697 write(8, "LOG_START_wsgi ,TS=1715874620.44"..., 38 <unfinished ...>
359692 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79 <unfinished ...>
359696 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359695 write(8, "PID = \n358884\n", 14) = 14
359697 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359693 write(8, "TID = \n359693\n", 14) = 14
359697 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359696 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359696 write(8, "PID = \n358884\n", 14) = 14
359695 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359695 write(8, "TID = \n359695\n", 14 <unfinished ...>
359693 write(3, "INFO:werkzeug:TID = \n359693\n", 28 <unfinished ...>
359693 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359695 write(3, "INFO:werkzeug:TID = \n359695\n", 28) = 28
359695 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359696 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359696 write(8, "TID = \n359696\n", 14) = 14
359697 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359697 write(8, "PID = \n358884\n", 14) = 14
359693 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359693 write(8, "LOG_STOP_wsgi, TS=1715874620.438"..., 35) = 35
359695 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359695 write(8, "LOG_STOP_wsgi, TS=1715874620.440"..., 37) = 37
359696 write(3, "INFO:werkzeug:TID = \n359696\n", 28) = 28
359696 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359697 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359697 write(8, "TID = \n359697\n", 14) = 14
359696 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359696 write(8, "LOG_STOP_wsgi, TS=1715874620.442"..., 37) = 37
359695 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359695 write(1, "#*# REQ_SEND\n", 13)   = 13
359693 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 49) = 49
359695 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359693 write(1, "#*# REQ_SEND\n", 13)   = 13
359697 write(3, "INFO:werkzeug:TID = \n359697\n", 28) = 28
359693 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359697 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359696 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359696 write(1, "#*# REQ_SEND\n", 13)   = 13
359696 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359695 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359693 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359697 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359697 write(8, "LOG_STOP_wsgi, TS=1715874620.444"..., 37) = 37
359696 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359697 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359697 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
359697 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359697 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359689 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359689 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359689 write(1, "*#* RES_REC\n", 12)    = 12
359689 write(8, "REC_DATA_SIZE=12048\n", 20) = 20
359689 write(3, "INFO:werkzeug:REC_DATA_SIZE=1204"..., 34) = 34
359689 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359689 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359689 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359691 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359691 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359691 write(1, "*#* RES_REC\n", 12)    = 12
359691 write(8, "REC_DATA_SIZE=12314\n", 20) = 20
359691 write(3, "INFO:werkzeug:REC_DATA_SIZE=1231"..., 34) = 34
359691 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359691 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359691 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359695 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359695 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359695 write(1, "*#* RES_REC\n", 12)    = 12
359695 write(8, "REC_DATA_SIZE=12142\n", 20) = 20
359695 write(3, "INFO:werkzeug:REC_DATA_SIZE=1214"..., 34) = 34
359695 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359695 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359695 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 89) = 89
359696 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359697 write(3, "DEBUG:urllib3.connectionpool:htt"..., 90) = 90
359696 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359696 write(1, "*#* RES_REC\n", 12)    = 12
359697 write(2, "{\"message\": \"Response <Response "..., 216) = 216
359696 write(8, "REC_DATA_SIZE=12978\n", 20) = 20
359697 write(1, "*#* RES_REC\n", 12 <unfinished ...>
359696 write(3, "INFO:werkzeug:REC_DATA_SIZE=1297"..., 34 <unfinished ...>
359697 write(8, "REC_DATA_SIZE=12319\n", 20 <unfinished ...>
359697 write(3, "INFO:werkzeug:REC_DATA_SIZE=1231"..., 34) = 34
359696 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359696 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
359697 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
359697 write(8, "10.5.30.76 - - [16/May/2024 21:2"..., 75) = 75
