359571 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
359577 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
359578 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
359574 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359573 write(8, "LOG_STOP_wsgi, TS=1715874617.960"..., 37) = 37
359577 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359579 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359580 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359573 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359573 write(1, "#*# REQ_SEND\n", 13)   = 13
359579 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359575 write(8, "LOG_STOP_wsgi, TS=1715874617.964"..., 37) = 37
359573 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359572 write(8, "LOG_STOP_wsgi, TS=1715874617.959"..., 37) = 37
359576 write(8, "LOG_STOP_wsgi, TS=1715874617.967"..., 37) = 37
359580 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359578 write(8, "LOG_STOP_wsgi, TS=1715874617.971"..., 36) = 36
359575 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359577 write(8, "LOG_STOP_wsgi, TS=1715874617.969"..., 37) = 37
359575 write(1, "#*# REQ_SEND\n", 13)   = 13
359575 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359572 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359579 write(8, "LOG_STOP_wsgi, TS=1715874617.973"..., 36) = 36
359572 write(1, "#*# REQ_SEND\n", 13)   = 13
359576 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359576 write(1, "#*# REQ_SEND\n", 13)   = 13
359572 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359578 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
359578 write(1, "#*# REQ_SEND\n", 13)   = 13
359580 write(8, "LOG_STOP_wsgi, TS=1715874617.975"..., 37) = 37
359576 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359577 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359577 write(1, "#*# REQ_SEND\n", 13)   = 13
359578 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359579 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
359577 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359579 write(1, "#*# REQ_SEND\n", 13)   = 13
359580 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359579 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359580 write(1, "#*# REQ_SEND\n", 13)   = 13
359580 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359574 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359571 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359575 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359573 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359572 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359576 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359578 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359579 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359577 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359580 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359576 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359576 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359576 write(1, "*#* RES_REC\n", 12)    = 12
359576 write(8, "REC_DATA_SIZE=11776\n", 20) = 20
359576 write(3, "INFO:werkzeug:REC_DATA_SIZE=1177"..., 34) = 34
359576 write(25, "[{\"Name\": \"Opio en las nubes\", \""..., 11727) = 11727
359572 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359572 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359572 write(1, "*#* RES_REC\n", 12)    = 12
359572 write(8, "REC_DATA_SIZE=12514\n", 20) = 20
359575 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359572 write(3, "INFO:werkzeug:REC_DATA_SIZE=1251"..., 34) = 34
359575 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359575 write(1, "*#* RES_REC\n", 12)    = 12
359575 write(8, "REC_DATA_SIZE=11893\n", 20) = 20
359575 write(3, "INFO:werkzeug:REC_DATA_SIZE=1189"..., 34 <unfinished ...>
359572 write(24, "[{\"Name\": \"Anarchoshnitzel schri"..., 12465 <unfinished ...>
359575 write(22, "[{\"Name\": \"Betrothed\", \"Rating\":"..., 11844) = 11844
359573 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359573 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359574 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359573 write(1, "*#* RES_REC\n", 12)    = 12
359573 write(8, "REC_DATA_SIZE=12480\n", 20) = 20
359573 write(3, "INFO:werkzeug:REC_DATA_SIZE=1248"..., 34) = 34
359574 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359574 write(1, "*#* RES_REC\n", 12)    = 12
359571 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359574 write(8, "REC_DATA_SIZE=12792\n", 20) = 20
359577 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359574 write(3, "INFO:werkzeug:REC_DATA_SIZE=1279"..., 34) = 34
359577 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359577 write(1, "*#* RES_REC\n", 12)    = 12
359573 write(17, "[{\"Name\": \"Jan Karon's Mitford C"..., 12431) = 12431
359571 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359577 write(8, "REC_DATA_SIZE=12188\n", 20) = 20
359571 write(1, "*#* RES_REC\n", 12)    = 12
359577 write(3, "INFO:werkzeug:REC_DATA_SIZE=1218"..., 34) = 34
359571 write(8, "REC_DATA_SIZE=12263\n", 20) = 20
359571 write(3, "INFO:werkzeug:REC_DATA_SIZE=1226"..., 34) = 34
359574 write(21, "[{\"Name\": \"Jules Verne: Seven No"..., 12743) = 12743
359577 write(23, "[{\"Name\": \"On the Edge\", \"Rating"..., 12139) = 12139
359576 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
359576 write(8, "10.145.11.89 - - [16/May/2024 21"..., 69) = 69
359575 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
359571 write(21, "[{\"Name\": \"Royal Savage\", \"Ratin"..., 12214) = 12214
359575 write(8, "10.145.11.89 - - [16/May/2024 21"..., 69) = 69
359577 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91 <unfinished ...>
359576 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
359577 write(8, "10.145.11.89 - - [16/May/2024 21"..., 69) = 69
359578 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359572 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
359572 write(8, "10.145.11.89 - - [16/May/2024 21"..., 69) = 69
359578 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359575 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
359578 write(1, "*#* RES_REC\n", 12)    = 12
359573 write(3, "INFO:jaeger_tracing:Reporting sp"..., 90) = 90
359578 write(8, "REC_DATA_SIZE=12016\n", 20) = 20
359573 write(8, "10.145.11.89 - - [16/May/2024 21"..., 69) = 69
359571 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
359571 write(8, "10.145.11.89 - - [16/May/2024 21"..., 69) = 69
359577 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
359579 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359574 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
359579 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359574 write(8, "10.145.11.89 - - [16/May/2024 21"..., 69) = 69
359572 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
359579 write(1, "*#* RES_REC\n", 12)    = 12
359579 write(8, "REC_DATA_SIZE=12051\n", 20) = 20
359578 write(3, "INFO:werkzeug:REC_DATA_SIZE=1201"..., 34) = 34
359573 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
359571 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
359574 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
359578 write(14, "[{\"Name\": \"Royal Flash\", \"Rating"..., 11967) = 11967
359579 write(3, "INFO:werkzeug:REC_DATA_SIZE=1205"..., 34) = 34
359580 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359578 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
359578 write(8, "10.145.11.89 - - [16/May/2024 21"..., 69) = 69
359580 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359578 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
359580 write(1, "*#* RES_REC\n", 12 <unfinished ...>
359579 write(11, "[{\"Name\": \"My Revised Christmas "..., 12002 <unfinished ...>
359580 write(8, "REC_DATA_SIZE=11856\n", 20) = 20
359580 write(3, "INFO:werkzeug:REC_DATA_SIZE=1185"..., 34) = 34
359579 write(3, "INFO:jaeger_tracing:Reporting sp"..., 87) = 87
359579 write(8, "10.145.11.89 - - [16/May/2024 21"..., 69) = 69
359579 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
359580 write(10, "[{\"Name\": \"Mirador de la Memoria"..., 11807) = 11807
359580 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
359580 write(8, "10.145.11.89 - - [16/May/2024 21"..., 69) = 69
359580 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
359682 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359682 write(8, "LOG_START_wsgi ,TS=1715874620.40"..., 38) = 38
359683 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359682 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359682 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359682 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359684 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359683 write(8, "LOG_START_wsgi ,TS=1715874620.40"..., 38) = 38
359683 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359682 write(8, "PID = \n358864\n", 14 <unfinished ...>
359682 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359685 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359684 write(8, "LOG_START_wsgi ,TS=1715874620.41"..., 38) = 38
359684 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359683 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359686 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359683 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359682 write(8, "TID = \n359682\n", 14) = 14
359682 write(3, "INFO:werkzeug:TID = \n359682\n", 28) = 28
359685 write(8, "LOG_START_wsgi ,TS=1715874620.41"..., 38 <unfinished ...>
359687 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359684 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359685 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359686 write(8, "LOG_START_wsgi ,TS=1715874620.41"..., 38) = 38
359684 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160 <unfinished ...>
359688 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359683 write(8, "PID = \n358864\n", 14) = 14
359686 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359683 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359682 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359682 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359687 write(8, "LOG_START_wsgi ,TS=1715874620.41"..., 38) = 38
359687 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359685 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359685 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359684 write(8, "PID = \n358864\n", 14) = 14
359684 write(3, "INFO:werkzeug:PID = \n358864\n", 28 <unfinished ...>
359688 write(8, "LOG_START_wsgi ,TS=1715874620.41"..., 38 <unfinished ...>
359688 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359686 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359686 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359683 write(8, "TID = \n359683\n", 14) = 14
359683 write(3, "INFO:werkzeug:TID = \n359683\n", 28) = 28
359682 write(8, "LOG_STOP_wsgi, TS=1715874620.408"..., 37) = 37
359682 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359687 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146 <unfinished ...>
359682 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
359687 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359685 write(8, "PID = \n358864\n", 14) = 14
359682 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359685 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359684 write(8, "TID = \n359684\n", 14) = 14
359684 write(3, "INFO:werkzeug:TID = \n359684\n", 28) = 28
359688 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359682 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359686 write(8, "PID = \n358864\n", 14) = 14
359688 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359683 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359687 write(8, "PID = \n358864\n", 14) = 14
359686 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359683 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359685 write(8, "TID = \n359685\n", 14) = 14
359684 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359687 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359688 write(8, "PID = \n358864\n", 14) = 14
359685 write(3, "INFO:werkzeug:TID = \n359685\n", 28) = 28
359686 write(8, "TID = \n359686\n", 14) = 14
359684 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359683 write(8, "LOG_STOP_wsgi, TS=1715874620.409"..., 37) = 37
359688 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359687 write(8, "TID = \n359687\n", 14) = 14
359686 write(3, "INFO:werkzeug:TID = \n359686\n", 28) = 28
359685 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359683 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359684 write(8, "LOG_STOP_wsgi, TS=1715874620.411"..., 37) = 37
359683 write(1, "#*# REQ_SEND\n", 13)   = 13
359687 write(3, "INFO:werkzeug:TID = \n359687\n", 28) = 28
359688 write(8, "TID = \n359688\n", 14) = 14
359683 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359686 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359685 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359687 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359684 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359684 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
359685 write(8, "LOG_STOP_wsgi, TS=1715874620.413"..., 37 <unfinished ...>
359688 write(3, "INFO:werkzeug:TID = \n359688\n", 28) = 28
359684 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359688 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359685 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359685 write(1, "#*# REQ_SEND\n", 13)   = 13
359683 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359685 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359687 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359687 write(8, "LOG_STOP_wsgi, TS=1715874620.416"..., 37) = 37
359686 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359686 write(8, "LOG_STOP_wsgi, TS=1715874620.414"..., 37) = 37
359687 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359687 write(1, "#*# REQ_SEND\n", 13)   = 13
359684 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359687 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359688 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359688 write(8, "LOG_STOP_wsgi, TS=1715874620.418"..., 37) = 37
359685 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359686 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359686 write(1, "#*# REQ_SEND\n", 13)   = 13
359686 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359687 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359688 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359688 write(1, "#*# REQ_SEND\n", 13)   = 13
359686 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359688 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359688 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79 <unfinished ...>
359682 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359682 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359682 write(1, "*#* RES_REC\n", 12)    = 12
359682 write(8, "REC_DATA_SIZE=12048\n", 20) = 20
359682 write(3, "INFO:werkzeug:REC_DATA_SIZE=1204"..., 34) = 34
359682 write(24, "[{\"Name\": \"Shamsiah Fakeh: Pejua"..., 11999) = 11999
359682 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
359682 write(8, "10.145.11.89 - - [16/May/2024 21"..., 69) = 69
359682 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
359683 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359683 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359683 write(1, "*#* RES_REC\n", 12)    = 12
359683 write(8, "REC_DATA_SIZE=12314\n", 20) = 20
359683 write(3, "INFO:werkzeug:REC_DATA_SIZE=1231"..., 34) = 34
359683 write(17, "[{\"Name\": \"Islam: Religion, Hist"..., 12265) = 12265
359683 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
359683 write(8, "10.145.11.89 - - [16/May/2024 21"..., 69) = 69
359683 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
359687 write(3, "DEBUG:urllib3.connectionpool:htt"..., 93) = 93
359687 write(2, "{\"message\": \"Response <Response "..., 202) = 202
359687 write(1, "*#* RES_REC\n", 12)    = 12
359687 write(8, "REC_DATA_SIZE=12142\n", 20) = 20
359687 write(3, "INFO:werkzeug:REC_DATA_SIZE=1214"..., 34) = 34
359687 write(10, "[{\"Name\": \"Second Class Citizen\""..., 12093) = 12093
359687 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
