425578 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425578 write(8, "LOG_START_wsgi ,TS=1715882229.06"..., 38) = 38
425586 write(12, "\"{}\"", 4)           = 4
425582 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425584 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425582 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425585 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425584 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425584 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425586 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425586 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425582 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425587 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425585 write(11, "\"{}\"", 4)           = 4
425586 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425585 write(3, "INFO:jaeger_tracing:Reporting sp"..., 90) = 90
425585 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425585 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425587 write(9, "\"{}\"", 4 <unfinished ...>
425587 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425587 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425587 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83 <unfinished ...>
425655 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425655 write(8, "LOG_START_wsgi ,TS=1715882230.28"..., 38) = 38
425655 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425655 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425655 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425655 write(8, "PID = \n425109\n", 14) = 14
425655 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425655 write(8, "TID = \n425655\n", 14) = 14
425655 write(3, "INFO:werkzeug:TID = \n425655\n", 28) = 28
425655 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425655 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425655 write(8, "LOG_STOP_wsgi, TS=1715882230.284"..., 37) = 37
425655 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425655 write(1, "#*# REQ_SEND\n", 13)   = 13
425655 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425655 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425653 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425653 write(8, "LOG_START_wsgi ,TS=1715882230.28"..., 38) = 38
425654 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
425653 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425654 write(8, "LOG_START_wsgi ,TS=1715882230.28"..., 37) = 37
425653 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425654 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425653 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425654 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146 <unfinished ...>
425656 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425654 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425653 write(8, "PID = \n425109\n", 14) = 14
425653 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425656 write(8, "LOG_START_wsgi ,TS=1715882230.29"..., 38) = 38
425656 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425658 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425654 write(8, "PID = \n425109\n", 14) = 14
425654 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425653 write(8, "TID = \n425653\n", 14) = 14
425656 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425653 write(3, "INFO:werkzeug:TID = \n425653\n", 28) = 28
425658 write(8, "LOG_START_wsgi ,TS=1715882230.29"..., 38) = 38
425656 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425660 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425658 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425654 write(8, "TID = \n425654\n", 14) = 14
425661 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425654 write(3, "INFO:werkzeug:TID = \n425654\n", 28) = 28
425653 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425662 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425656 write(8, "PID = \n425109\n", 14) = 14
425655 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425660 write(8, "LOG_START_wsgi ,TS=1715882230.29"..., 38) = 38
425663 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425653 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425658 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425656 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425655 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425655 write(1, "*#* RES_REC\n", 12)    = 12
425661 write(8, "LOG_START_wsgi ,TS=1715882230.29"..., 38) = 38
425660 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425664 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425658 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160 <unfinished ...>
425654 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
425661 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
425662 write(8, "LOG_START_wsgi ,TS=1715882230.30"..., 38 <unfinished ...>
425654 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
425653 write(8, "LOG_STOP_wsgi, TS=1715882230.288"..., 37 <unfinished ...>
425662 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
425663 write(8, "LOG_START_wsgi ,TS=1715882230.30"..., 38 <unfinished ...>
425653 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
425656 write(8, "TID = \n425656\n", 14 <unfinished ...>
425653 write(1, "#*# REQ_SEND\n", 13)   = 13
425653 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425663 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425655 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425656 write(3, "INFO:werkzeug:TID = \n425656\n", 28) = 28
425660 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425655 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425664 write(8, "LOG_START_wsgi ,TS=1715882230.30"..., 38) = 38
425660 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425658 write(8, "PID = \n425109\n", 14) = 14
425653 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425661 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425658 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425654 write(8, "LOG_STOP_wsgi, TS=1715882230.288"..., 36) = 36
425664 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425662 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425655 write(20, "\"{}\"", 4)           = 4
425661 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160 <unfinished ...>
425663 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146 <unfinished ...>
425656 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425654 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
425660 write(8, "PID = \n425109\n", 14) = 14
425654 write(1, "#*# REQ_SEND\n", 13)   = 13
425654 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425662 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425658 write(8, "TID = \n425658\n", 14) = 14
425664 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425663 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425661 write(8, "PID = \n425109\n", 14) = 14
425656 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425662 write(8, "PID = \n425109\n", 14 <unfinished ...>
425660 write(3, "INFO:werkzeug:PID = \n425109\n", 28 <unfinished ...>
425663 write(8, "PID = \n425109\n", 14) = 14
425655 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425656 write(8, "LOG_STOP_wsgi, TS=1715882230.291"..., 37) = 37
425658 write(3, "INFO:werkzeug:TID = \n425658\n", 28) = 28
425660 write(8, "TID = \n425660\n", 14) = 14
425664 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425655 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425654 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79 <unfinished ...>
425658 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
425661 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425664 write(8, "PID = \n425109\n", 14) = 14
425661 write(8, "TID = \n425661\n", 14) = 14
425662 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425662 write(8, "TID = \n425662\n", 14) = 14
425663 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425656 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425656 write(1, "#*# REQ_SEND\n", 13)   = 13
425663 write(8, "TID = \n425663\n", 14) = 14
425656 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425660 write(3, "INFO:werkzeug:TID = \n425660\n", 28) = 28
425660 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425655 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425658 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425658 write(8, "LOG_STOP_wsgi, TS=1715882230.294"..., 37) = 37
425664 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425664 write(8, "TID = \n425664\n", 14) = 14
425653 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425653 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425661 write(3, "INFO:werkzeug:TID = \n425661\n", 28) = 28
425653 write(1, "*#* RES_REC\n", 12)    = 12
425661 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425662 write(3, "INFO:werkzeug:TID = \n425662\n", 28) = 28
425653 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425661 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425662 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425660 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425661 write(8, "LOG_STOP_wsgi, TS=1715882230.298"..., 37) = 37
425656 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425658 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425660 write(8, "LOG_STOP_wsgi, TS=1715882230.297"..., 37) = 37
425658 write(1, "#*# REQ_SEND\n", 13)   = 13
